套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
E01S-1204,BN1,N5,72,2207.300954781163,2286.1013630057296,78.80040822456658,2173.0336946011694,2176.0336946011694,2179.0336946011694,2179.0336946011694,2179.0336946011694,2207.300954781163,6.235921216720271,2292.33728422245,0,1
E01S-1226,BN1,N2,73,2356.6447084895576,2454.46239976244,97.8176912728822,2292.33728422245,2300.33728422245,2303.33728422245,2303.33728422245,2303.33728422245,2356.6447084895576,38.84732722222179,2493.3097269846617,1,1
E01S-1203,BN1,N5,74,2309.33728422245,2409.0035566193305,99.66627239688083,2303.33728422245,2306.33728422245,2309.33728422245,2309.33728422245,2309.33728422245,2309.33728422245,111.00644777777688,2520.0100043971074,0,1
E01S-1206,BN1,N2,75,2454.46239976244,2561.4604437533076,106.99804399086752,2422.268954003946,2430.268954003946,2433.268954003946,2433.268954003946,2433.268954003946,2454.46239976244,4.033693025640787,2565.4941367789484,0,1
E01S-1242,BN1,N5,76,2409.0035566193305,2498.463084375069,89.45952775573826,2309.33728422245,2312.33728422245,2315.33728422245,2315.33728422245,2315.33728422245,2409.0035566193305,131.363292006165,2629.826376381234,1,6
E01S-1240,BN1,N5,77,2524.790194003946,2645.266309968872,120.47611596492608,2513.790194003946,2521.790194003946,2524.790194003946,2524.790194003946,2524.790194003946,2524.790194003946,59.45893571428587,2704.725245683158,0,1
E01S-1205,BN1,N2,78,2561.4604437533076,2725.27730975186,163.81686599855212,2487.3097269846617,2490.3097269846617,2493.3097269846617,2493.3097269846617,2493.3097269846617,2561.4604437533076,4.047880615384656,2729.3251903672444,1,1
E01S-1232,BN1,N5,79,2645.266309968872,2718.4202067162955,73.15389674742353,2618.826376381234,2626.826376381234,2629.826376381234,2629.826376381234,2629.826376381234,2645.266309968872,15.904983650948907,2734.3251903672444,1,7
E01S-1219,BN1,N2,80,2725.27730975186,2751.0410795693087,25.763769817449027,2565.4941367789484,2573.4941367789484,2576.4941367789484,2576.4941367789484,2576.4941367789484,2725.27730975186,5.653006461538553,2756.6940860308473,0,2
E01S-1212,BN1,N5,81,2718.4202067162955,2750.3218006143975,31.901593898102153,2693.725245683158,2701.725245683158,2704.725245683158,2704.725245683158,2704.725245683158,2718.4202067162955,14.372285416449813,2764.6940860308473,0,2
E01S-1210,BN1,N2,82,2775.6940860308473,2808.8606382882977,33.16655225745019,2764.6940860308473,2772.6940860308473,2775.6940860308473,2775.6940860308473,2775.6940860308473,2775.6940860308473,5.0,2813.8606382882977,1,2
